"Time (ps)"	"Channel 1 - Counts per bin"	"Channel 2 - Counts per bin"	"Channel 3 - Counts per bin"	"Channel 4 - Counts per bin"
0	0	0	0	0
100000000000	0	0	0	0
200000000000	0	0	0	0
300000000000	0	0	0	0
400000000000	0	0	0	0
500000000000	0	0	0	0
600000000000	0	0	0	0
700000000000	0	0	0	0
800000000000	0	0	0	0
900000000000	0	0	0	0
1000000000000	0	0	0	0
1100000000000	0	0	0	0
1200000000000	0	0	0	0
1300000000000	0	0	0	0
1400000000000	0	0	0	0
1500000000000	0	0	0	0
1600000000000	0	0	0	0
1700000000000	0	0	0	0
1800000000000	0	0	0	0
1900000000000	0	0	0	0
2000000000000	0	0	0	0
2100000000000	0	0	0	0
2200000000000	0	0	0	0
2300000000000	0	0	0	0
2400000000000	0	0	0	0
2500000000000	0	0	0	0
2600000000000	0	0	0	0
2700000000000	0	0	0	0
2800000000000	0	0	0	0
2900000000000	0	0	0	0
3000000000000	0	0	0	0
3100000000000	0	0	0	0
3200000000000	0	0	0	0
3300000000000	0	0	0	0
3400000000000	0	0	0	0
3500000000000	0	0	0	0
3600000000000	0	0	0	0
3700000000000	0	0	0	0
3800000000000	0	0	0	0
3900000000000	0	0	0	0
4000000000000	0	0	0	0
4100000000000	0	0	0	0
4200000000000	0	0	0	0
4300000000000	0	0	0	0
4400000000000	0	0	0	0
4500000000000	0	0	0	0
4600000000000	0	0	0	0
4700000000000	0	0	0	0
4800000000000	0	0	0	0
4900000000000	0	0	0	0
5000000000000	0	0	0	0
5100000000000	0	0	0	0
5200000000000	0	0	0	0
5300000000000	0	0	0	0
5400000000000	0	0	0	0
5500000000000	0	0	0	0
5600000000000	0	0	0	0
5700000000000	0	0	0	0
5800000000000	0	0	0	0
5900000000000	0	0	0	0
6000000000000	0	0	0	0
6100000000000	0	0	0	0
6200000000000	0	0	0	0
6300000000000	0	0	0	0
6400000000000	0	0	0	0
6500000000000	0	0	0	0
6600000000000	0	0	0	0
6700000000000	0	0	0	0
6800000000000	0	0	0	0
6900000000000	0	0	0	0
7000000000000	0	0	0	0
7100000000000	0	0	0	0
7200000000000	0	0	0	0
7300000000000	0	0	0	0
7400000000000	0	0	0	0
7500000000000	0	0	0	0
7600000000000	0	0	0	0
7700000000000	0	0	0	0
7800000000000	0	0	0	0
7900000000000	0	0	0	0
8000000000000	0	0	0	0
8100000000000	0	0	0	0
8200000000000	0	0	0	0
8300000000000	0	0	0	0
8400000000000	0	0	0	0
8500000000000	0	0	0	0
8600000000000	0	0	0	0
8700000000000	0	0	0	0
8800000000000	0	0	0	0
8900000000000	0	0	0	0
9000000000000	0	0	0	0
9100000000000	0	0	0	0
9200000000000	0	0	0	0
9300000000000	0	0	0	0
9400000000000	0	0	0	0
9500000000000	0	0	0	0
9600000000000	0	0	0	0
9700000000000	0	0	0	0
9800000000000	0	0	0	0
9900000000000	0	0	0	0
10000000000000	0	0	0	0
10100000000000	0	0	0	0
10200000000000	0	0	0	0
10300000000000	0	0	0	0
10400000000000	0	0	0	0
10500000000000	0	0	0	0
10600000000000	0	0	0	0
10700000000000	0	0	0	0
10800000000000	0	0	0	0
10900000000000	0	0	0	0
11000000000000	0	0	0	0
11100000000000	0	0	0	0
11200000000000	0	0	0	0
11300000000000	0	0	0	0
11400000000000	0	0	0	0
11500000000000	0	0	0	0
11600000000000	0	0	0	0
11700000000000	0	0	0	0
11800000000000	0	0	0	0
11900000000000	0	0	0	0
12000000000000	0	0	0	0
12100000000000	0	0	0	0
12200000000000	0	0	0	0
12300000000000	0	0	0	0
12400000000000	0	0	0	0
12500000000000	0	0	0	0
12600000000000	0	0	0	0
12700000000000	0	0	0	0
12800000000000	0	0	0	0
12900000000000	0	0	0	0
13000000000000	0	0	0	0
13100000000000	0	0	0	0
13200000000000	0	0	0	0
13300000000000	0	0	0	0
13400000000000	0	0	0	0
13500000000000	0	0	0	0
13600000000000	0	0	0	0
13700000000000	0	0	0	0
13800000000000	0	0	0	0
13900000000000	0	0	0	0
14000000000000	0	0	0	0
14100000000000	0	0	0	0
14200000000000	0	0	0	0
14300000000000	0	0	0	0
14400000000000	0	0	0	0
14500000000000	0	0	0	0
14600000000000	0	0	0	0
14700000000000	0	0	0	0
14800000000000	0	0	0	0
14900000000000	0	0	0	0
15000000000000	0	0	0	0
15100000000000	0	0	0	0
15200000000000	0	0	0	0
15300000000000	0	0	0	0
15400000000000	0	0	0	0
15500000000000	0	0	0	0
15600000000000	0	0	0	0
15700000000000	0	0	0	0
15800000000000	0	0	0	0
15900000000000	0	0	0	0
16000000000000	0	0	0	0
16100000000000	0	0	0	0
16200000000000	0	0	0	0
16300000000000	0	0	0	0
16400000000000	0	0	0	0
16500000000000	0	0	0	0
16600000000000	0	0	0	0
16700000000000	0	0	0	0
16800000000000	0	0	0	0
16900000000000	0	0	0	0
17000000000000	0	0	0	0
17100000000000	0	0	0	0
17200000000000	0	0	0	0
17300000000000	0	0	0	0
17400000000000	0	0	0	0
17500000000000	0	0	0	0
17600000000000	0	0	0	0
17700000000000	0	0	0	0
17800000000000	0	0	0	0
17900000000000	0	0	0	0
